GWAS Trait	Gene	MR_outcome	MR_exposure	method	nsnp	b	se	pval	MR_dir	MR_source	MR_QTL
SCZ	OS9	OS9	SCZ	Wald ratio	1	-0.935402543	0.369675168	1.14E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	ATXN7	SCZ	ATXN7	Wald ratio	1	-0.101405093	0.040077003	1.14E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	TCP1	SCZ	TCP1	Wald ratio	1	-0.076804379	0.030372641	1.14E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	EZR	SCZ	EZR	Wald ratio	1	0.07330595	0.028990134	1.15E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	SCD5	SCZ	SCD5	Wald ratio	1	-0.084040046	0.033235122	1.15E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	UQCRC2	SCZ	UQCRC2	Wald ratio	1	-0.139796445	0.055296751	1.15E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ERP27	SCZ	ERP27	Wald ratio	1	0.134721368	0.053295851	1.15E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ANO8	SCZ	ANO8	Wald ratio	1	-0.08916579	0.035291268	1.15E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	TNFRSF11B	SCZ	TNFRSF11B	Wald ratio	1	0.083848436	0.033224132	1.16E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	PPA2	SCZ	PPA2	Wald ratio	1	-0.052416489	0.020775836	1.16E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	SEPTIN12	SCZ	SEPTIN12	Wald ratio	1	-0.025229545	0.01	1.16E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	OBI1	OBI1	SCZ	Wald ratio	1	-1.145917417	0.454272129	1.17E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	ZDHHC21	SCZ	ZDHHC21	Wald ratio	1	0.063873328	0.025332573	1.17E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	EPHB2	SCZ	EPHB2	Wald ratio	1	-0.073708996	0.029238493	1.17E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
